subjectID,trial#,song_tempo,play_tempo,group,colour,section,match,song_mean,song_median,song_std,play_mean,play_median,play_std,play2_mean,play2_median,play2_std
8,0,1,6,SHINY, APPLE, 1,0,0.42571,0.34,0.024346,0.69,0.7,0.048081,0.87667,0.7875,0.63949
8,1,1,6,TD,RED,1,0,0.37689,0.355,0.015142,0.33476,0.27,0.022321,0.35537,0.28,0.028492
8,2,2,2,ASD,RED,1,1,0.33776,0.2825,0.018943,0.37919,0.32,0.03247,0.37244,0.32,0.0221
8,3,6,6,ASD,PURPLE,2,1,0.38264,0.295,0.030009,0.368,0.2975,0.023055,0.39263,0.3025,0.042227
8,4,2,2,TD,RED,2,1,0.34085,0.25,0.039537,0.34366,0.295,0.029985,0.36026,0.305,0.0253
8,5,6,5,ASD,PURPLE,2,0,0.365,0.3075,0.024843,0.40514,0.325,0.031395,0.39838,0.315,0.033661
8,6,5,3,ASD,PURPLE,1,0,0.32354,0.325,0.0009353,0.35463,0.35,0.005723,0.34326,0.35,0.0087141
8,7,5,5,ASD,RED,3,1,0.31932,0.325,0.0012786,0.37128,0.34,0.0191,0.39556,0.375,0.0099711
8,8,4,6,TD,PURPLE,3,0,0.4197,0.43,0.0090983,0.48283,0.4325,0.045412,0.48032,0.43,0.058643
8,9,2,4,ASD,RED,1,0,0.36038,0.265,0.035819,0.348,0.295,0.027,0.38908,0.32,0.038669
8,10,5,5,TD,RED,3,1,0.32012,0.325,0.0022577,0.38986,0.335,0.036642,0.45348,0.365,0.078463
8,11,4,4,TD,PURPLE,1,1,0.40029,0.385,0.026219,0.45953,0.4125,0.043863,0.50121,0.425,0.10503
8,12,3,3,TD,PURPLE,2,1,0.37588,0.4,0.014563,0.42809,0.36,0.029268,0.45076,0.365,0.051867
8,13,4,4,ASD,PURPLE,3,1,0.4325,0.4325,0.028455,0.49552,0.43,0.048258,0.43719,0.405,0.084542
8,14,3,1,TD,PURPLE,2,0,0.34743,0.285,0.016562,0.37566,0.33,0.019353,0.37359,0.315,0.031754
8,15,6,4,TD,RED,2,0,0.38297,0.295,0.030037,0.37513,0.295,0.033182,0.38289,0.2875,0.037341
8,16,5,1,TD,RED,2,0,0.36408,0.3175,0.026348,0.41788,0.305,0.12636,0.50517,0.345,0.22422
8,17,6,6,TD,PURPLE,2,1,0.36308,0.295,0.026143,0.34536,0.3,0.021183,0.41786,0.335,0.034572
8,18,1,1,TD,PURPLE,1,1,0.29851,0.285,0.0093912,0.29229,0.22,0.012458,0.31678,0.225,0.021596
8,19,2,6,TD,PURPLE,1,0,0.34098,0.27,0.027628,0.32344,0.28,0.01987,0.326,0.28,0.013701
8,20,1,6,ASD,RED,2,0,0.28051,0.265,0.0054815,0.31391,0.3025,0.010814,0.32467,0.23,0.026313
8,21,4,6,ASD,RED,1,0,0.42742,0.42,0.024317,0.40214,0.36,0.038696,0.44712,0.405,0.081327
8,22,1,1,ASD,PURPLE,2,1,0.295,0.2925,0.008917,0.31739,0.3525,0.009132,0.35537,0.365,0.027457
8,23,3,3,ASD,RED,3,1,0.44241,0.465,0.0093136,0.38167,0.33,0.018087,0.37462,0.31,0.024622
8,24,3,1,ASD,PURPLE,3,0,0.31536,0.26,0.018249,0.315,0.245,0.018552,0.32043,0.245,0.02243
