subjectID,trial#,song_tempo,play_tempo,group,colour,section,match,song_mean,song_median,song_std,play_mean,play_median,play_std,play2_mean,play2_median,play2_std
16,0,3,3,SHINY, APPLE, 2,1,0.74833,0.745,0.0029618,0.78528,0.7825,0.0024337,0.84824,0.85,0.0019123
16,1,3,3,TD,PURPLE,2,1,0.50875,0.5,0.0032475,0.51537,0.52,0.00069024,0.5287,0.525,0.00050114
16,2,1,1,ASD,RED,3,1,0.83,0.845,0.0030125,0.98036,0.9775,0.0048826,1.1213,1.1175,0.0025369
16,3,5,6,TD,RED,2,0,0.64575,0.655,0.002827,0.6985,0.69,0.0025055,0.77079,0.78,0.0016118
16,4,6,1,TD,RED,2,0,0.5931,0.6,0.00077369,0.63773,0.6375,0.0010946,0.63152,0.635,0.0020624
16,5,1,1,TD,RED,1,1,0.73789,0.73,0.0041509,0.845,0.855,0.0022469,0.83353,0.84,0.0038305
16,6,3,3,ASD,RED,2,1,0.4966,0.495,0.00040983,0.50107,0.5,0.0006414,0.51569,0.51,0.00079772
16,7,6,2,ASD,RED,2,0,0.59109,0.59,0.0011113,0.59854,0.5975,0.001451,0.59792,0.6,0.00042591
16,8,4,1,ASD,PURPLE,1,0,0.43318,0.44,0.00059503,0.43136,0.43,0.00051136,0.44121,0.445,0.0006438
16,9,4,3,TD,RED,2,0,0.43167,0.43,0.00059479,0.43273,0.435,0.00046733,0.44288,0.445,0.00060161
16,10,2,1,ASD,RED,2,0,0.54538,0.5375,0.0017878,0.54981,0.5525,0.00074496,0.5437,0.545,0.00058575
16,11,2,2,TD,RED,3,1,0.54558,0.5475,0.00087865,0.52611,0.53,0.00075064,0.54963,0.55,0.0008287
16,12,1,4,TD,RED,2,0,0.73105,0.72,0.0051794,0.79556,0.79,0.0033732,0.80222,0.805,0.0022977
16,13,3,1,ASD,RED,1,0,0.49889,0.5,0.0009641,0.5163,0.515,0.00039922,0.53704,0.54,0.00078319
16,14,3,6,TD,PURPLE,3,0,0.49196,0.4975,0.00080618,0.51389,0.51,0.00066603,0.52667,0.53,0.00061923
16,15,5,3,ASD,PURPLE,1,0,0.67048,0.655,0.0023798,0.71675,0.71,0.0012849,0.74737,0.745,0.001051
16,16,5,5,ASD,PURPLE,2,1,0.50607,0.46,0.032467,0.64432,0.7075,0.028122,0.729,0.72,0.0029542
16,17,5,5,TD,PURPLE,3,1,0.45766,0.4625,0.03966,0.62304,0.7,0.034761,0.73375,0.74,0.0015549
16,18,2,2,ASD,PURPLE,1,1,0.54442,0.545,0.0012867,0.53692,0.54,0.00062215,0.52161,0.53,0.0011945
16,19,1,2,ASD,PURPLE,1,0,0.71816,0.72,0.0011311,0.75553,0.755,0.001233,0.75211,0.74,0.00094254
16,20,2,4,TD,RED,3,0,0.545,0.535,0.001032,0.52481,0.525,0.00047016,0.53464,0.5325,0.00053876
16,21,4,4,TD,PURPLE,3,1,0.43121,0.435,0.00058911,0.42909,0.43,0.0016195,0.43894,0.435,0.0014746
16,22,6,6,TD,RED,3,1,0.58896,0.59,0.00055213,0.59354,0.595,0.0010641,0.62978,0.635,0.0017102
16,23,6,6,ASD,PURPLE,3,1,0.59208,0.595,0.00047373,0.59771,0.5875,0.00125,0.61196,0.625,0.0019585
16,24,4,4,ASD,RED,1,1,0.43303,0.44,0.00089991,0.42833,0.435,0.0010995,0.44781,0.4475,0.00070313
