subjectID,trial#,song_tempo,play_tempo,group,colour,section,match,song_mean,song_median,song_std,play_mean,play_median,play_std,play2_mean,play2_median,play2_std
12,0,5,5,SHINY, APPLE, 3,1,0.32806,0.3275,0.00044468,0.31598,0.315,0.00043736,0.31663,0.3175,0.00037784
12,1,5,5,ASD,PURPLE,3,1,0.32595,0.325,0.0004137,0.31815,0.3175,0.00028151,0.315,0.315,0.00032065
12,2,6,1,TD,PURPLE,1,0,0.59109,0.585,0.0012794,0.5764,0.58,0.00078025,0.59021,0.5875,0.0014663
12,3,2,3,ASD,PURPLE,1,0,0.28245,0.27,0.0042292,0.26309,0.265,0.00068842,0.25707,0.25,0.0015676
12,4,6,1,ASD,PURPLE,3,0,0.31988,0.305,0.0069896,0.27274,0.27,0.00053708,0.26573,0.265,0.00097446
12,5,2,4,TD,PURPLE,2,0,0.49446,0.5325,0.010662,0.58187,0.5875,0.0015822,0.56212,0.5575,0.0010683
12,6,3,2,ASD,PURPLE,3,0,0.25037,0.2475,0.0005008,0.23754,0.235,0.00028052,0.24172,0.23,0.0019932
12,7,2,2,ASD,PURPLE,3,1,0.53827,0.54,0.00056788,0.5582,0.56,0.0015435,0.5742,0.565,0.0020264
12,8,1,4,ASD,PURPLE,3,0,0.66211,0.705,0.026634,0.81059,0.795,0.0029996,0.83156,0.8225,0.0023591
12,9,5,1,ASD,RED,3,0,0.38544,0.3325,0.016263,0.29704,0.295,0.000727,0.2902,0.295,0.00053496
12,10,4,4,TD,PURPLE,1,1,0.42984,0.43,0.00070401,0.44167,0.435,0.0020401,0.425,0.43,0.00081364
12,11,3,5,TD,RED,2,0,0.49481,0.49,0.012153,0.53389,0.53,0.0022987,0.5031,0.5,0.0016329
12,12,6,6,TD,RED,3,1,0.59587,0.6,0.00064921,0.62591,0.6275,0.0017539,0.58708,0.58,0.0015889
12,13,3,3,ASD,RED,1,1,0.495,0.495,0.00073654,0.52926,0.535,0.00095905,0.53667,0.54,0.0018788
12,14,1,5,TD,PURPLE,3,0,0.7225,0.7225,0.0017713,0.75789,0.76,0.0029064,0.85029,0.85,0.0011577
12,15,4,3,ASD,RED,2,0,0.43109,0.43,0.00064796,0.45694,0.455,0.0011211,0.44781,0.4475,0.0013951
12,16,5,5,TD,RED,3,1,0.3319,0.33,0.0015987,0.3116,0.31,0.001236,0.30357,0.31,0.00091979
12,17,1,1,ASD,RED,3,1,0.72667,0.7275,0.0041235,0.81765,0.81,0.0026316,0.8275,0.8325,0.00441
12,18,4,3,TD,PURPLE,2,0,0.43062,0.425,0.00099476,0.43788,0.435,0.00073911,0.44227,0.435,0.0011298
12,19,4,4,ASD,RED,2,1,0.4297,0.43,0.0048108,0.44212,0.445,0.0010688,0.46258,0.46,0.00097812
12,20,5,4,TD,RED,1,0,0.33186,0.325,0.0029322,0.321,0.32,0.00081886,0.3133,0.31,0.0008503
12,21,1,1,TD,RED,2,1,0.71421,0.715,0.0043146,0.75789,0.76,0.0014009,0.76972,0.7725,0.0019896
12,22,3,3,TD,PURPLE,3,1,0.49444,0.49,0.00079872,0.52019,0.51,0.0014067,0.52768,0.535,0.0011176
12,23,6,6,ASD,PURPLE,1,1,0.32047,0.3,0.0073533,0.27894,0.2775,0.00076406,0.26786,0.265,0.0012308
12,24,2,2,TD,RED,1,1,0.53596,0.5375,0.001352,0.55904,0.555,0.001328,0.53889,0.54,0.0018487
