subjectID,trial#,song_tempo,play_tempo,group,colour,section,match,song_mean,song_median,song_std,play_mean,play_median,play_std,play2_mean,play2_median,play2_std
7,0,6,6,SHINY, APPLE, 2,1,0.71813,0.72,0.013083,0.86294,0.87,0.0056721,0.88188,0.8675,0.0034129
7,1,6,6,ASD,PURPLE,2,1,0.58905,0.595,0.001999,0.699,0.7025,0.0034279,0.70071,0.705,0.0025532
7,2,1,1,TD,PURPLE,1,1,0.60083,0.7075,0.061251,0.85219,0.875,0.0040199,0.85176,0.875,0.013094
7,3,1,5,TD,PURPLE,2,0,0.749,0.725,0.0047829,0.845,0.85,0.010231,0.86059,0.87,0.0041246
7,4,3,3,TD,PURPLE,1,1,0.50375,0.5,0.0076956,0.60318,0.6,0.0016584,0.5826,0.57,0.001344
7,5,2,2,ASD,RED,2,1,0.5426,0.55,0.000819,0.6475,0.66,0.0019161,0.63795,0.635,0.0012801
7,6,3,3,ASD,PURPLE,3,1,0.50704,0.5,0.0033024,0.5592,0.565,0.0019889,0.56981,0.565,0.002239
7,7,5,5,TD,PURPLE,3,1,0.68263,0.675,0.0082399,0.78056,0.7775,0.002035,0.75026,0.755,0.0037096
7,8,4,6,ASD,RED,2,0,0.45719,0.4325,0.025081,0.48466,0.485,0.00092666,0.472,0.475,0.0022838
7,9,5,5,ASD,PURPLE,2,1,0.66476,0.71,0.039036,0.85529,0.85,0.002789,0.86344,0.8475,0.0044457
7,10,3,4,ASD,PURPLE,1,0,0.4685,0.4775,0.0051365,0.5475,0.5425,0.0007905,0.55904,0.555,0.001068
7,11,5,3,TD,RED,3,0,0.62087,0.675,0.027172,0.69775,0.765,0.035528,0.724,0.805,0.04102
7,12,4,4,ASD,PURPLE,3,1,0.43594,0.43,0.0013088,0.48983,0.5,0.0027651,0.52,0.5225,0.0024833
7,13,1,6,ASD,PURPLE,2,0,0.5584,0.675,0.050297,0.8925,0.8825,0.0051233,0.90375,0.9025,0.006415
7,14,3,1,TD,RED,3,0,0.48661,0.4875,0.0015668,0.571,0.57,0.00089792,0.5628,0.57,0.0024106
7,15,6,1,ASD,PURPLE,2,0,0.5848,0.6,0.0019677,0.66929,0.67,0.0012007,0.65341,0.6575,0.00056521
7,16,4,2,TD,PURPLE,3,0,0.43403,0.44,0.00092403,0.49661,0.495,0.0019223,0.50821,0.51,0.0020578
7,17,6,2,TD,RED,3,0,0.59375,0.5875,0.00086141,0.64795,0.65,0.0033182,0.66795,0.665,0.0024516
7,18,6,6,TD,PURPLE,1,1,0.56635,0.59,0.0085671,0.68095,0.695,0.004974,0.68548,0.69,0.0049973
7,19,1,1,ASD,RED,2,1,0.63341,0.725,0.036725,0.82625,0.82,0.001875,0.82441,0.83,0.0013934
7,20,5,2,ASD,PURPLE,2,0,0.67429,0.7,0.022151,0.90625,0.86,0.065368,0.82941,0.835,0.0042871
7,21,2,3,TD,RED,2,0,0.58804,0.555,0.028629,0.65357,0.655,0.0052204,0.75778,0.7275,0.013339
7,22,4,4,TD,RED,1,1,0.42971,0.4325,0.002059,0.48397,0.485,0.0025292,0.53333,0.475,0.022952
7,23,2,5,ASD,PURPLE,1,0,0.53037,0.535,0.002296,0.60674,0.615,0.0020173,0.66159,0.6625,0.0021128
7,24,2,2,TD,PURPLE,1,1,0.47414,0.515,0.012273,0.59609,0.59,0.0018954,0.63455,0.645,0.0055688
