subjectID,trial#,song_tempo,play_tempo,group,colour,section,match,song_mean,song_median,song_std,play_mean,play_median,play_std,play2_mean,play2_median,play2_std
10,0,2,2,SHINY, APPLE, 3,1,0.65972,0.6625,0.00048962,0.73184,0.725,0.001345,0.77263,0.785,0.0010844
10,1,2,2,ASD,RED,3,1,0.54104,0.54,0.00033474,0.5642,0.565,0.00064725,0.56288,0.565,0.0011763
10,2,3,5,ASD,PURPLE,2,0,0.49519,0.5,0.00026631,0.51393,0.51,0.00025251,0.52339,0.515,0.0005001
10,3,2,3,TD,PURPLE,1,0,0.53962,0.54,0.00061985,0.5576,0.555,0.00066067,0.53759,0.54,0.00079879
10,4,4,4,TD,RED,3,1,0.4487,0.43,0.0068396,0.43348,0.435,0.00078357,0.425,0.42,0.00078676
10,5,5,5,ASD,RED,1,1,0.65937,0.6625,0.00043625,0.73474,0.74,0.001868,0.72975,0.7275,0.0013486
10,6,1,1,ASD,PURPLE,1,1,0.36212,0.365,0.00061567,0.36025,0.36,0.0012269,0.371,0.3725,0.0016913
10,7,5,2,ASD,RED,2,0,0.5475,0.64,0.026664,0.68476,0.695,0.0061412,0.69595,0.7,0.001179
10,8,2,3,ASD,RED,1,0,0.54083,0.5425,0.00067101,0.5558,0.555,0.000491,0.55692,0.565,0.0020942
10,9,6,4,ASD,RED,3,0,0.5945,0.6025,0.00046816,0.5888,0.6,0.0034048,0.60521,0.615,0.0025032
10,10,1,6,TD,RED,2,0,0.3625,0.36,0.00080777,0.39176,0.39,0.00045308,0.40361,0.4075,0.00085944
10,11,5,6,TD,PURPLE,1,0,0.5416,0.645,0.026835,0.69667,0.705,0.0041083,0.7155,0.7125,0.00089184
10,12,6,6,ASD,RED,3,1,0.59841,0.5975,0.00054378,0.59313,0.5925,0.00036698,0.60062,0.6,0.00039198
10,13,1,1,TD,PURPLE,1,1,0.36197,0.3575,0.00087235,0.37658,0.375,0.00062717,0.39608,0.385,0.0040502
10,14,1,4,ASD,PURPLE,3,0,0.36395,0.365,0.00059886,0.37684,0.375,0.00072219,0.39365,0.39,0.00086896
10,15,6,6,TD,RED,3,1,0.59739,0.595,0.00028607,0.6,0.605,0.00034318,0.55808,0.55,0.00075815
10,16,4,2,TD,PURPLE,3,0,0.43141,0.43,0.00033102,0.42456,0.4225,0.00077783,0.41264,0.415,0.00093212
10,17,4,4,ASD,RED,1,1,0.43359,0.4325,0.0003778,0.41671,0.415,0.00042786,0.43206,0.43,0.0010335
10,18,6,2,TD,RED,3,0,0.61659,0.6,0.015396,0.5696,0.57,0.00091442,0.5796,0.585,0.00079775
10,19,3,1,TD,PURPLE,2,0,0.49393,0.495,0.00039511,0.53111,0.535,0.00050449,0.51571,0.5125,0.00085132
10,20,4,6,ASD,PURPLE,2,0,0.43094,0.43,0.00082651,0.44781,0.45,0.0005628,0.43412,0.435,0.00055829
10,21,5,5,TD,RED,1,1,0.63636,0.6525,0.008029,0.72947,0.73,0.0015942,0.733,0.7275,0.00075632
10,22,3,3,ASD,RED,2,1,0.49714,0.5,0.0013952,0.52,0.525,0.00069615,0.50679,0.5,0.00080595
10,23,2,2,TD,PURPLE,1,1,0.54058,0.535,0.00030065,0.5622,0.56,0.00055642,0.54135,0.54,0.00049712
10,24,3,3,TD,RED,2,1,0.51442,0.5025,0.0099527,0.51722,0.515,0.00061218,0.53111,0.535,0.00094487
